Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.55446252771721, 7.610615064570773;"{""coordinates"": [7.610615064570773, 47.55446252771721], ""type"": ""Point""}";23106;Parkierunfall;1 Unfall mit Sachschaden;2013;1;;3 Mittwoch;Nebenstrasse;False;False;False
47.57298459359211, 7.595005729437764;"{""coordinates"": [7.595005729437764, 47.57298459359211], ""type"": ""Point""}";23120;Parkierunfall;1 Unfall mit Sachschaden;2011;5;14;3 Mittwoch;Nebenstrasse;False;False;False
47.5464105023647, 7.571336513403934;"{""coordinates"": [7.571336513403934, 47.5464105023647], ""type"": ""Point""}";23123;Parkierunfall;1 Unfall mit Sachschaden;2013;1;;3 Mittwoch;Nebenstrasse;False;False;False
47.54495644418265, 7.5910051571957995;"{""coordinates"": [7.591005157195799, 47.54495644418265], ""type"": ""Point""}";23125;Parkierunfall;1 Unfall mit Sachschaden;2014;6;22;5 Freitag;Nebenstrasse;False;False;False
47.55922518216321, 7.564485839079189;"{""coordinates"": [7.564485839079189, 47.55922518216321], ""type"": ""Point""}";23127;Parkierunfall;1 Unfall mit Sachschaden;2012;1;;3 Mittwoch;Hauptstrasse;False;False;False
47.570385285687024, 7.595104431203325;"{""coordinates"": [7.595104431203325, 47.570385285687024], ""type"": ""Point""}";23163;Parkierunfall;2 Unfall mit Leichtverletzten;2015;9;11;7 Sonntag;Nebenstrasse;False;True;False
47.56131648500606, 7.597429686762711;"{""coordinates"": [7.597429686762711, 47.56131648500606], ""type"": ""Point""}";23180;Parkierunfall;1 Unfall mit Sachschaden;2015;12;11;6 Samstag;Nebenstrasse;False;False;False
47.55057237702049, 7.573286379325605;"{""coordinates"": [7.573286379325605, 47.55057237702049], ""type"": ""Point""}";23196;Parkierunfall;2 Unfall mit Leichtverletzten;2012;11;16;4 Donnerstag;Nebenstrasse;False;False;True
47.57076102550152, 7.609338645653647;"{""coordinates"": [7.609338645653647, 47.57076102550152], ""type"": ""Point""}";23203;Parkierunfall;1 Unfall mit Sachschaden;2011;8;;3 Mittwoch;Nebenstrasse;False;False;False
47.57418307308245, 7.563205302291774;"{""coordinates"": [7.563205302291774, 47.57418307308245], ""type"": ""Point""}";23210;Parkierunfall;1 Unfall mit Sachschaden;2017;9;21;6 Samstag;andere;False;False;False
47.5478253609095, 7.576640262595076;"{""coordinates"": [7.576640262595076, 47.5478253609095], ""type"": ""Point""}";23243;Parkierunfall;2 Unfall mit Leichtverletzten;2019;5;8;4 Donnerstag;Nebenstrasse;False;True;False
47.54771692792573, 7.610805870862299;"{""coordinates"": [7.610805870862299, 47.54771692792573], ""type"": ""Point""}";23245;Parkierunfall;1 Unfall mit Sachschaden;2013;9;12;3 Mittwoch;Nebenstrasse;False;False;False
47.549148348430904, 7.583312314882253;"{""coordinates"": [7.583312314882253, 47.549148348430904], ""type"": ""Point""}";23249;Parkierunfall;1 Unfall mit Sachschaden;2015;6;10;1 Montag;andere;False;False;False
47.556003750729765, 7.57401749760469;"{""coordinates"": [7.57401749760469, 47.556003750729765], ""type"": ""Point""}";23258;Parkierunfall;1 Unfall mit Sachschaden;2015;10;14;6 Samstag;Hauptstrasse;False;False;False
47.539920520409645, 7.603767917122432;"{""coordinates"": [7.603767917122432, 47.539920520409645], ""type"": ""Point""}";23273;Parkierunfall;1 Unfall mit Sachschaden;2011;11;;6 Samstag;andere;False;False;False
47.55456047558177, 7.611279655259027;"{""coordinates"": [7.611279655259027, 47.55456047558177], ""type"": ""Point""}";23287;Parkierunfall;1 Unfall mit Sachschaden;2011;10;11;6 Samstag;Nebenstrasse;False;False;False
47.56056908869536, 7.576978774834268;"{""coordinates"": [7.576978774834268, 47.56056908869536], ""type"": ""Point""}";23295;Parkierunfall;1 Unfall mit Sachschaden;2016;12;11;4 Donnerstag;Nebenstrasse;False;False;False
47.56829384739145, 7.605131448028413;"{""coordinates"": [7.605131448028413, 47.56829384739145], ""type"": ""Point""}";23300;Parkierunfall;1 Unfall mit Sachschaden;2012;5;16;4 Donnerstag;Nebenstrasse;False;False;False
