station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAS;25.08.1864 00:00;2.1;;
BAS;26.08.1864 00:00;0;;
BAS;27.08.1864 00:00;12.9;;
BAS;28.08.1864 00:00;0;;
BAS;29.08.1864 00:00;0;;
BAS;30.08.1864 00:00;0;;
BAS;31.08.1864 00:00;0;;
BAS;01.09.1864 00:00;0;;
BAS;02.09.1864 00:00;12.4;;
BAS;03.09.1864 00:00;12.7;;
BAS;04.09.1864 00:00;1.7;;
BAS;05.09.1864 00:00;0;;
BAS;06.09.1864 00:00;0;;
BAS;07.09.1864 00:00;0;;
BAS;08.09.1864 00:00;0;;
BAS;09.09.1864 00:00;0;;
BAS;10.09.1864 00:00;0;;
BAS;11.09.1864 00:00;1.5;;
BAS;12.09.1864 00:00;25.5;;
BAS;13.09.1864 00:00;0;;
BAS;14.09.1864 00:00;0;;
BAS;15.09.1864 00:00;0;;
BAS;16.09.1864 00:00;0;;
BAS;17.09.1864 00:00;0;;
BAS;18.09.1864 00:00;13.1;;
BAS;19.09.1864 00:00;0;;
BAS;20.09.1864 00:00;0;;
BAS;21.09.1864 00:00;0;;
BAS;22.09.1864 00:00;0;;
BAS;23.09.1864 00:00;5.9;;
BAS;24.09.1864 00:00;0;;
BAS;25.09.1864 00:00;0;;
BAS;26.09.1864 00:00;0;;
BAS;27.09.1864 00:00;0;;
BAS;28.09.1864 00:00;0;;
BAS;29.09.1864 00:00;0;;
BAS;30.09.1864 00:00;0;;
BAS;01.10.1864 00:00;0;;
BAS;02.10.1864 00:00;0;;
BAS;03.10.1864 00:00;0;;
BAS;04.10.1864 00:00;0;;
BAS;05.10.1864 00:00;0;;
BAS;06.10.1864 00:00;0;;
BAS;07.10.1864 00:00;0;;
BAS;08.10.1864 00:00;0;;
BAS;09.10.1864 00:00;0;;
BAS;10.10.1864 00:00;0;;
BAS;11.10.1864 00:00;0;;
BAS;12.10.1864 00:00;0;;
BAS;13.10.1864 00:00;0.3;;
BAS;14.10.1864 00:00;0;;
BAS;15.10.1864 00:00;2.3;;
BAS;16.10.1864 00:00;1.2;;
BAS;17.10.1864 00:00;0;;
BAS;18.10.1864 00:00;0;;
BAS;19.10.1864 00:00;0;;
BAS;20.10.1864 00:00;0;;
BAS;21.10.1864 00:00;2.9;;
BAS;22.10.1864 00:00;0;;
BAS;23.10.1864 00:00;0;;
BAS;24.10.1864 00:00;0;;
BAS;25.10.1864 00:00;0;;
BAS;26.10.1864 00:00;2;;
BAS;27.10.1864 00:00;2.3;;
BAS;28.10.1864 00:00;0;;
BAS;29.10.1864 00:00;0.9;;
BAS;30.10.1864 00:00;0;;
BAS;31.10.1864 00:00;0;;
BAS;01.11.1864 00:00;0;;
BAS;02.11.1864 00:00;0;;
BAS;03.11.1864 00:00;10;;
BAS;04.11.1864 00:00;11.2;;
BAS;05.11.1864 00:00;0;;
BAS;06.11.1864 00:00;0.7;;
BAS;07.11.1864 00:00;0;;
BAS;08.11.1864 00:00;0;;
BAS;09.11.1864 00:00;0;;
BAS;10.11.1864 00:00;0;;
BAS;11.11.1864 00:00;0;;
BAS;12.11.1864 00:00;0.6;;
BAS;13.11.1864 00:00;0;;
BAS;14.11.1864 00:00;0.4;;
BAS;15.11.1864 00:00;0.9;;
BAS;16.11.1864 00:00;1.8;;
BAS;17.11.1864 00:00;4.4;;
BAS;18.11.1864 00:00;9.8;;
BAS;19.11.1864 00:00;0.4;;
BAS;20.11.1864 00:00;0;;
BAS;21.11.1864 00:00;1.9;;
BAS;22.11.1864 00:00;3;;
BAS;23.11.1864 00:00;9.8;;
BAS;24.11.1864 00:00;1.7;;
BAS;25.11.1864 00:00;16.7;;
BAS;26.11.1864 00:00;2.8;;
BAS;27.11.1864 00:00;3.1;;
BAS;28.11.1864 00:00;0;;
BAS;29.11.1864 00:00;7.9;;
BAS;30.11.1864 00:00;0;;
BAS;01.12.1864 00:00;0;;
BAS;02.12.1864 00:00;0;;
BAS;03.12.1864 00:00;0;;
BAS;04.12.1864 00:00;0;;
BAS;05.12.1864 00:00;0;;
BAS;06.12.1864 00:00;0;;
BAS;07.12.1864 00:00;0;;
BAS;08.12.1864 00:00;0;;
BAS;09.12.1864 00:00;0;;
BAS;10.12.1864 00:00;0;;
BAS;11.12.1864 00:00;0;;
BAS;12.12.1864 00:00;0;;
BAS;13.12.1864 00:00;0;;
BAS;14.12.1864 00:00;0;;
BAS;15.12.1864 00:00;0;;
BAS;16.12.1864 00:00;0;;
BAS;17.12.1864 00:00;0.5;;
BAS;18.12.1864 00:00;0;;
BAS;19.12.1864 00:00;0;;
BAS;20.12.1864 00:00;0;;
BAS;21.12.1864 00:00;1.6;;
BAS;22.12.1864 00:00;2.6;;
BAS;23.12.1864 00:00;0;;
BAS;24.12.1864 00:00;0;;
BAS;25.12.1864 00:00;0;;
BAS;26.12.1864 00:00;0;;
BAS;27.12.1864 00:00;0;;
BAS;28.12.1864 00:00;0;;
BAS;29.12.1864 00:00;0;;
BAS;30.12.1864 00:00;0;;
BAS;31.12.1864 00:00;0;;
BAS;01.01.1865 00:00;0;;
BAS;02.01.1865 00:00;0.3;;
BAS;03.01.1865 00:00;0;;
BAS;04.01.1865 00:00;0;;
BAS;05.01.1865 00:00;0;;
BAS;06.01.1865 00:00;0.2;;
BAS;07.01.1865 00:00;0;;
BAS;08.01.1865 00:00;0;;
BAS;09.01.1865 00:00;0;;
BAS;10.01.1865 00:00;0.6;;
BAS;11.01.1865 00:00;0;;
BAS;12.01.1865 00:00;0;;
BAS;13.01.1865 00:00;0;;
BAS;14.01.1865 00:00;9.5;;
BAS;15.01.1865 00:00;0.5;;
BAS;16.01.1865 00:00;1.7;;
BAS;17.01.1865 00:00;0;;
BAS;18.01.1865 00:00;1.2;;
BAS;19.01.1865 00:00;2.1;;
BAS;20.01.1865 00:00;2.6;;
BAS;21.01.1865 00:00;15.3;;
BAS;22.01.1865 00:00;6.2;;
BAS;23.01.1865 00:00;2;;
BAS;24.01.1865 00:00;0;;
BAS;25.01.1865 00:00;6.6;;
BAS;26.01.1865 00:00;8.4;;
BAS;27.01.1865 00:00;0.9;;
BAS;28.01.1865 00:00;0;;
BAS;29.01.1865 00:00;0.3;;
BAS;30.01.1865 00:00;0;;
BAS;31.01.1865 00:00;1.1;;
BAS;01.02.1865 00:00;3.1;;
BAS;02.02.1865 00:00;10.1;;
BAS;03.02.1865 00:00;10.6;;
BAS;04.02.1865 00:00;10.6;;
BAS;05.02.1865 00:00;12.5;;
BAS;06.02.1865 00:00;0.8;;
BAS;07.02.1865 00:00;0;;
BAS;08.02.1865 00:00;0;;
BAS;09.02.1865 00:00;6.9;;
BAS;10.02.1865 00:00;3;;
BAS;11.02.1865 00:00;0.6;;
BAS;12.02.1865 00:00;0;;
BAS;13.02.1865 00:00;0;;
BAS;14.02.1865 00:00;0;;
BAS;15.02.1865 00:00;0;;
BAS;16.02.1865 00:00;0;;
BAS;17.02.1865 00:00;8;;
BAS;18.02.1865 00:00;6.8;;
BAS;19.02.1865 00:00;3.5;;
BAS;20.02.1865 00:00;17;;
BAS;21.02.1865 00:00;1.6;;
BAS;22.02.1865 00:00;0;;
BAS;23.02.1865 00:00;0;;
BAS;24.02.1865 00:00;0;;
BAS;25.02.1865 00:00;0.6;;
BAS;26.02.1865 00:00;1.2;;
BAS;27.02.1865 00:00;0;;
BAS;28.02.1865 00:00;0.4;;
BAS;01.03.1865 00:00;5.7;;
BAS;02.03.1865 00:00;7.9;;
BAS;03.03.1865 00:00;3;;
BAS;04.03.1865 00:00;0;;
BAS;05.03.1865 00:00;0;;
BAS;06.03.1865 00:00;7;;
BAS;07.03.1865 00:00;5.1;;
BAS;08.03.1865 00:00;0.6;;
BAS;09.03.1865 00:00;4.4;;
BAS;10.03.1865 00:00;0.6;;
BAS;11.03.1865 00:00;2.3;;
BAS;12.03.1865 00:00;0;;
BAS;13.03.1865 00:00;0;;
BAS;14.03.1865 00:00;0;;
BAS;15.03.1865 00:00;0;;
BAS;16.03.1865 00:00;0;;
BAS;17.03.1865 00:00;0.9;;
BAS;18.03.1865 00:00;0;;
BAS;19.03.1865 00:00;0;;
BAS;20.03.1865 00:00;0;;
BAS;21.03.1865 00:00;0;;
BAS;22.03.1865 00:00;0;;
BAS;23.03.1865 00:00;0;;
BAS;24.03.1865 00:00;0.7;;
BAS;25.03.1865 00:00;1.1;;
BAS;26.03.1865 00:00;0;;
BAS;27.03.1865 00:00;1.1;;
BAS;28.03.1865 00:00;2.4;;
BAS;29.03.1865 00:00;0;;
BAS;30.03.1865 00:00;1.5;;
BAS;31.03.1865 00:00;4.1;;
BAS;01.04.1865 00:00;2.9;;
BAS;02.04.1865 00:00;0;;
BAS;03.04.1865 00:00;0.3;;
BAS;04.04.1865 00:00;0;;
BAS;05.04.1865 00:00;0;;
BAS;06.04.1865 00:00;0;;
BAS;07.04.1865 00:00;0;;
BAS;08.04.1865 00:00;0;;
BAS;09.04.1865 00:00;0;;
BAS;10.04.1865 00:00;0;;
BAS;11.04.1865 00:00;0;;
BAS;12.04.1865 00:00;0;;
